,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Aquatic,Semiaquatic,Terrestrial,Scansorial,Subfossorial,Cave_dwelling,Nocturnal,Diurnal,Paedomorphic,Metamorphosizing,Direct_Development,Free_living,No_free_living,Lentic_water,Lotic_water,Both_water,No_larva
126,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Ichthyosaura,alpestris,Ichthyosaura_alpestris,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
127,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,boscai,Lissotriton_boscai,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,no
128,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,helveticus,Lissotriton_helveticus,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
129,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,italicus,Lissotriton_italicus,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
130,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,montandoni,Lissotriton_montandoni,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,no
131,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,vulgaris,Lissotriton_vulgaris,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
132,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Lyciasalamandra,luschani,Lyciasalamandra_luschani,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
133,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Mertensiella,caucasica,Mertensiella_caucasica,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
134,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,crocatus,Neurergus_crocatus,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
135,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,strauchii,Neurergus_strauchii,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
136,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Notophthalmus,viridescens,Notophthalmus_viridescens,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
137,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Ommatotriton,vittatus,Ommatotriton_vittatus,no,yes,no,no,no,no,NA,NA,no,yes,no,yes,no,yes,no,no,no
138,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pachytriton,brevipes,Pachytriton_brevipes,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
139,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Paramesotriton,deloustali,Paramesotriton_deloustali,yes,no,no,no,no,no,NA,NA,no,yes,no,yes,no,no,no,yes,no
