,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Activity_Period,Adult_Habitat,Development,Life_History,Larval_Habitat
86,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,neotenes,Eurycea_neotenes,NA,aquatic,paedomorphic,free-living,lotic water
87,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,quadridigitata,Eurycea_quadridigitata,nocturnal,semiaquatic,metamorphosizing,free-living,both
88,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,rathbuni,Eurycea_rathbuni,NA,aquatic,paedomorphic,free-living,lentic water
89,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,tynerensis,Eurycea_tynerensis,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
90,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,wilderae,Eurycea_wilderae,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
91,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Gyrinophilus,porphyriticus,Gyrinophilus_porphyriticus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
92,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Hemidactylium,scutatum,Hemidactylium_scutatum,nocturnal,terrestrial,metamorphosizing,free-living,lentic water
93,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,ambrosii,Hydromantes_ambrosii,nocturnal,scansorial,direct development,no free-living,no larva
94,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,brunus,Hydromantes_brunus,nocturnal,scansorial,direct development,no free-living,no larva
95,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,imperialis,Hydromantes_imperialis,nocturnal,scansorial,direct development,no free-living,no larva
96,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,italicus,Hydromantes_italicus,nocturnal,scansorial,direct development,no free-living,no larva
97,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,platycephalus,Hydromantes_platycephalus,nocturnal,scansorial,direct development,no free-living,no larva
98,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,albagula,Plethodon_albagula,nocturnal,terrestrial,direct development,no free-living,no larva
99,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,cinereus,Plethodon_cinereus,nocturnal,terrestrial,direct development,no free-living,no larva
100,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,dunni,Plethodon_dunni,nocturnal,terrestrial,direct development,no free-living,no larva
101,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,elongatus,Plethodon_elongatus,NA,terrestrial,direct development,no free-living,no larva
102,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,Plethodon_glutinosus,nocturnal,terrestrial,direct development,no free-living,no larva
103,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,idahoensis,Plethodon_idahoensis,nocturnal,semiaquatic,direct development,no free-living,no larva
104,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,jordani,Plethodon_jordani,nocturnal,terrestrial,direct development,no free-living,no larva
105,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,vehiculum,Plethodon_vehiculum,nocturnal,terrestrial,direct development,no free-living,no larva
106,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Pseudotriton,montanus,Pseudotriton_montanus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
107,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Pseudotriton,ruber,Pseudotriton_ruber,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
108,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Stereochilus,marginatus,Stereochilus_marginatus,NA,aquatic,metamorphosizing,free-living,lentic water
109,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Thorius,boreas,Thorius_boreas,NA,subfossorial,direct development,no free-living,no larva
110,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Thorius,pennatulus,Thorius_pennatulus,NA,subfossorial,direct development,no free-living,no larva
