"","Genus_Species","X","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat","pglsres.cdsvl"
"60","Desmognathus_ochrophaeus",60,2.17833333333333,1.69,41,1.08399892410943,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","ochrophaeus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0579364499714571
"61","Desmognathus_quadramaculatus",61,3.74166666666667,2.63,68.3333333333333,1.81643807917099,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","quadramaculatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.115208958370638
"62","Dicamptodon_aterrimus",62,5.64333333333333,4.39,120.333333333333,3.2542452303802,3,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","aterrimus","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water",0.188396631916554
"63","Dicamptodon_copei",63,4.3175,3.3825,95.5,2.7113256130522,2,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","copei","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water",0.136162928790367
"64","Dicamptodon_ensatus",64,8.41666666666667,6.09,149,4.3042946156137,3,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","ensatus","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.274163412436367
"65","Dicamptodon_tenebrosus",65,7.97666666666667,5.955,141,4.3855377615539,3,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","tenebrosus","no","nocturnal","subfossorial","metamorphosizing","free-living","lotic water",0.278990462904565
"66","Echinotriton_andersoni",66,5.15666666666667,3.22,92.3333333333333,2.84316710797848,3,"Caudata","Salamandroidea","Salamandridae","Echinotriton","andersoni","no",NA,"terrestrial","metamorphosizing","free-living","lentic water",0.123679292014601
"67","Ensatina_eschscholtzii",67,4.85,3.83166666666667,75.6666666666667,1.97866043955917,3,"Caudata","Salamandroidea","Plethodontidae","Ensatina","eschscholtzii","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.251741019415723
"68","Euproctus_montanus",68,3.345,2.2375,48.5,1.50118570996788,2,"Caudata","Salamandroidea","Salamandridae","Euproctus","montanus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.135483174098838
"69","Eurycea_bislineata",69,2.205,1.705,44,1.16681325174933,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","bislineata","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0431395830382749
"70","Eurycea_cirrigera",70,2.28833333333333,1.83333333333333,38.3333333333333,1.02526533742458,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","cirrigera","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.111037680664403
"71","Eurycea_guttolineata",71,3.32833333333333,2.50833333333333,51.3333333333333,1.37344253804573,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","guttolineata","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.170123207129919
"72","Eurycea_longicauda",72,3.35357142857143,2.50357142857143,53.5714285714286,1.295621754489,7,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.158036727469686
"73","Eurycea_lucifuga",73,3.67333333333333,2.63166666666667,61,1.23360962147017,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","lucifuga","no","nocturnal","scansorial","metamorphosizing","free-living","both",0.145440727870888
"74","Eurycea_nana",74,NA,1.095,26.3333333333333,0.67510985483871,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","nana","yes",NA,"aquatic","paedomorphic","free-living","lotic water",-0.0137069398575467
"75","Eurycea_neotenes",75,NA,1.5425,35.68,1.03228011545637,2,"Caudata","Salamandroidea","Plethodontidae","Eurycea","neotenes","yes",NA,"aquatic","paedomorphic","free-living","lotic water",0.0549493892232195
"76","Eurycea_quadridigitata",76,1.82166666666667,1.49166666666667,29,0.748498876216243,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","quadridigitata","no","nocturnal","semiaquatic","metamorphosizing","free-living","both",0.0950968154283074
"77","Eurycea_tynerensis",78,1.8275,1.29,40.5,1.01108920735275,2,"Caudata","Salamandroidea","Plethodontidae","Eurycea","tynerensis","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0561227154353966
"78","Eurycea_wilderae",79,1.99,1.54666666666667,35.3333333333333,0.924010529177722,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","wilderae","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0586973328445462
"79","Gyrinophilus_porphyriticus",80,4.2675,2.8325,90.5,2.38498145886337,2,"Caudata","Salamandroidea","Plethodontidae","Gyrinophilus","porphyriticus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0732855439402136
"80","Hemidactylium_scutatum",81,2.33333333333333,1.67166666666667,36.6666666666667,0.923872416992799,3,"Caudata","Salamandroidea","Plethodontidae","Hemidactylium","scutatum","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",0.0826758483106039
"81","Hydromantes_ambrosii",82,4.195,3.18333333333333,59,1.51989335277154,3,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","ambrosii","no","nocturnal","scansorial","direct development","no free-living","no larva",0.236888771198756
"82","Hydromantes_brunus",83,4.4875,2.8825,65,1.47705267817574,2,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","brunus","no","nocturnal","scansorial","direct development","no free-living","no larva",0.168219262889718
"83","Hydromantes_imperialis",84,4.56,3.6175,61.55,1.59882199910968,2,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","imperialis","no","nocturnal","scansorial","direct development","no free-living","no larva",0.28124980648969
"84","Hydromantes_italicus",85,4.15666666666667,3.175,61,1.45565304893794,3,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","italicus","no","nocturnal","scansorial","direct development","no free-living","no larva",0.226953577874231
"85","Hydromantes_platycephalus",86,3.84833333333333,2.755,54.6666666666667,1.31471403929461,3,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","platycephalus","no","nocturnal","scansorial","direct development","no free-living","no larva",0.194257876548184
"86","Hynobius_abei",87,3.14666666666667,2.22833333333333,56.3333333333333,1.54743803935098,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","abei","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",0.0941915179691852
"87","Hynobius_amjiensis",88,4.095,2.64,82,2.29955883157793,1,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","amjiensis","no",NA,"terrestrial","metamorphosizing","free-living","lentic water",0.0687461707866406
"88","Hynobius_chinensis",89,3.44,2.23666666666667,64.3333333333333,1.78137542236894,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","chinensis","no",NA,"terrestrial","metamorphosizing","free-living","lentic water",0.0607716462117893
"89","Hynobius_kimurae",90,3.735,2.50666666666667,69.3333333333333,1.99045197950593,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","kimurae","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.0905161242770589
"90","Hynobius_leechii",91,3.10666666666667,2.02,55,1.48297822749714,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","leechii","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",0.0578835056768819
"91","Hynobius_lichenatus",92,3.40666666666667,2.27333333333333,63,1.56836721373127,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","lichenatus","no",NA,"terrestrial","metamorphosizing","free-living","lentic water",0.0733599800787089
"92","Hynobius_naevius",93,3.635,2.305,70,2,1,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","naevius","no",NA,NA,NA,NA,NA,0.0515652838342269
"93","Hynobius_nebulosus",94,2.85166666666667,1.77166666666667,51,1.50556855835921,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","nebulosus","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",0.0208390640917442
"94","Hynobius_nigrescens",95,4.34,2.87,76.6666666666667,2.32910729564008,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","nigrescens","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",0.12277064118284
"95","Hynobius_sonani",96,3.49333333333333,2.74666666666667,61,1.49372638643176,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","sonani","no",NA,"terrestrial","metamorphosizing","free-living","lotic water",0.164015805223691
"96","Hynobius_tsuensis",97,3.60166666666667,2.41,72.6666666666667,1.99640762342255,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","tsuensis","no",NA,"terrestrial","metamorphosizing","free-living","lotic water",0.0610455842440845
"97","Ichthyosaura_alpestris",98,3.53666666666667,2.37333333333333,46.6666666666667,1.50001152249738,3,"Caudata","Salamandroidea","Salamandridae","Ichthyosaura","alpestris","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.171247122469324
"98","Lissotriton_boscai",99,2.54,1.77833333333333,31.6666666666667,0.911953904381452,3,"Caudata","Salamandroidea","Salamandridae","Lissotriton","boscai","no","both","semiaquatic","metamorphosizing","free-living","both",0.148225022140145
"99","Lissotriton_helveticus",100,3.29666666666667,2.27166666666667,43.3333333333333,1.40965608594756,3,"Caudata","Salamandroidea","Salamandridae","Lissotriton","helveticus","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.171788581817583
"100","Lissotriton_italicus",101,2.6125,2.025,33,1.1091152679539,2,"Caudata","Salamandroidea","Salamandridae","Lissotriton","italicus","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.193753699257849
"101","Lissotriton_montandoni",102,3.64,2.64333333333333,49,1.51136065703116,3,"Caudata","Salamandroidea","Salamandridae","Lissotriton","montandoni","no","both","semiaquatic","metamorphosizing","free-living","both",0.205165580057346
"102","Lissotriton_vulgaris",103,3.55,2.625,47.5,1.51212868054567,2,"Caudata","Salamandroidea","Salamandridae","Lissotriton","vulgaris","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.210347131397725
"103","Liua_shihi",104,4.40666666666667,3.24833333333333,84,2.09472701516805,3,"Caudata","Cryptobranchoidea","Hynobiidae","Liua","shihi","no",NA,"aquatic","metamorphosizing","free-living","lotic water",0.152443976878467
"104","Lyciasalamandra_luschani",105,5.45166666666667,4.055,79,1.83291331498117,3,"Caudata","Salamandroidea","Salamandridae","Lyciasalamandra","luschani","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.264968268628946
"105","Mertensiella_caucasica",106,3.595,2.645,57,1.53545180813751,1,"Caudata","Salamandroidea","Salamandridae","Mertensiella","caucasica","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.165532534062883
"106","Necturus_alabamensis",107,NA,2.595,112,3.02825163179757,1,"Caudata","Salamandroidea","Proteidae","Necturus","alabamensis","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water",-0.0209927216684371
"107","Necturus_beyeri",108,NA,2.8125,120,3.15057077725514,2,"Caudata","Salamandroidea","Proteidae","Necturus","beyeri","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water",-0.00424337408693681
"108","Necturus_lewisi",109,NA,3.315,152.333333333333,3.71821207565473,3,"Caudata","Salamandroidea","Proteidae","Necturus","lewisi","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water",0.00419136693759348
"109","Necturus_maculosus",110,NA,4.18333333333333,210.333333333333,4.92160975979987,3,"Caudata","Salamandroidea","Proteidae","Necturus","maculosus","yes","nocturnal","aquatic","paedomorphic","free-living","both",0.0200967696575134
"110","Neurergus_crocatus",111,5.245,3.49,56,1.75332700420673,1,"Caudata","Salamandroidea","Salamandridae","Neurergus","crocatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.29060284454724
"111","Neurergus_strauchii",112,4.80666666666667,3.445,80.3333333333333,2.10585283533842,3,"Caudata","Salamandroidea","Salamandridae","Neurergus","strauchii","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.189750135821999
"112","Notophthalmus_viridescens",113,3.71333333333333,2.56833333333333,43,1.28650643389946,3,"Caudata","Salamandroidea","Salamandridae","Notophthalmus","viridescens","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.227133056257554
"113","Ommatotriton_vittatus",114,NA,3.91,62.45,1.56938078079056,3,"Caudata","Salamandroidea","Salamandridae","Ommatotriton ","vittatus","no",NA,"semiaquatic","metamorphosizing","free-living","lentic water",0.311187444397852
"114","Onychodactylus_fischeri",115,4.57833333333333,3.02666666666667,72,1.78363687555187,3,"Caudata","Cryptobranchoidea","Hynobiidae","Onychodactylus","fischeri","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.162425224071971
"115","Onychodactylus_japonicus",116,4.09,2.83166666666667,71.6666666666667,1.84792974193433,3,"Caudata","Cryptobranchoidea","Hynobiidae","Onychodactylus","japonicus","no",NA,"terrestrial","metamorphosizing","free-living","lotic water",0.134727260931277
"116","Pachyhynobius_shangchengensis",117,4.87333333333333,2.82666666666667,116.333333333333,3.1720161187641,3,"Caudata","Cryptobranchoidea","Hynobiidae","Pachyhynobius","shangchengensis","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water",0.00612743741418703
