"","Genus_Species","X","Order","Suborder","Family","Genus","Species","Gill_Presence","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat"
"84","Batrachoseps_major",158,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","major","no",53,1.79,1.2141835471794,3.12,2.77,2.945,1.95,1.7,1.825,"nocturnal","subfossorial","direct development","no free-living","no larva"
"85","Batrachoseps_major",159,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","major","no",46,1.39,1.11601902992092,2.72,2.75,2.735,1.67,1.67,1.67,"nocturnal","subfossorial","direct development","no free-living","no larva"
"86","Batrachoseps_nigriventris",160,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","nigriventris","no",35,0.53,0.809267233456646,1.8,1.78,1.79,1.27,1.13,1.2,"nocturnal","subfossorial","direct development","no free-living","no larva"
"87","Batrachoseps_nigriventris",161,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","nigriventris","no",37,0.53,0.809267233456646,1.85,1.86,1.855,1.26,1.25,1.255,"nocturnal","subfossorial","direct development","no free-living","no larva"
"88","Batrachoseps_nigriventris",162,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","nigriventris","no",35,0.51,0.798956974045401,1.89,1.78,1.835,1.33,1.22,1.275,"nocturnal","subfossorial","direct development","no free-living","no larva"
"89","Batrachoseps_pacificus",163,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","pacificus","no",42,0.93,0.976100007668508,1.94,2.02,1.98,1.43,1.32,1.375,"nocturnal","subfossorial","direct development","no free-living","no larva"
"90","Batrachoseps_pacificus",164,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","pacificus","no",36,1.08,1.02598556800602,2.05,1.94,1.995,1.54,1.39,1.465,"nocturnal","subfossorial","direct development","no free-living","no larva"
"91","Batrachoseps_pacificus",165,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","pacificus","no",43,1.2,1.06265856918261,2.18,2.07,2.125,1.49,1.25,1.37,"nocturnal","subfossorial","direct development","no free-living","no larva"
"92","Batrachoseps_relictus",166,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","relictus","no",39,0.77,0.916565645433022,2.15,2.08,2.115,1.34,1.45,1.395,"nocturnal","subfossorial","direct development","no free-living","no larva"
"93","Batrachoseps_relictus",167,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","relictus","no",41,0.53,0.809267233456646,1.88,1.9,1.89,1.5,1.26,1.38,"nocturnal","subfossorial","direct development","no free-living","no larva"
"94","Batrachoseps_relictus",168,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","relictus","no",37,0.64,0.861773876012753,2.06,2.02,2.04,1.48,1.49,1.485,"nocturnal","subfossorial","direct development","no free-living","no larva"
"95","Batrachuperus_karlschmidti",74,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","karlschmidti","no",73,6.18,1.83511305596701,3.71,3.85,3.78,2.76,2.24,2.5,"NA","aquatic","metamorphosizing","free-living","lotic water"
"96","Batrachuperus_karlschmidti",75,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","karlschmidti","no",74,8.08,2.00664456708418,4.14,3.97,4.055,2.76,2.93,2.845,"NA","aquatic","metamorphosizing","free-living","lotic water"
"97","Batrachuperus_karlschmidti",76,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","karlschmidti","no",73,6.77,1.89174628406857,4.12,3.89,4.005,2.92,2.94,2.93,"NA","aquatic","metamorphosizing","free-living","lotic water"
"98","Batrachuperus_yenyuanensis",77,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","yenyuanensis","no",79,13.08,2.35614807820174,4.65,4.75,4.7,3.34,3.6,3.47,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"99","Batrachuperus_yenyuanensis",78,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","yenyuanensis","no",92,14.72,2.45077027009137,5.38,4.87,5.125,3.98,3.67,3.825,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"100","Batrachuperus_yenyuanensis",79,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","yenyuanensis","no",84,13.47,2.37933649088738,4.68,4.48,4.58,3.41,3.06,3.235,"nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"101","Bolitoglossa_altamazonica",169,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","altamazonica","no",53,3.51,1.51973910573027,3.3,3.5,3.4,2.53,2.26,2.395,"nocturnal","scansorial","direct development","no free-living","no larva"
"102","Bolitoglossa_engelhardti",170,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","engelhardti","no",50,2.43,1.34442142396715,3.47,3.42,3.445,2.39,2.54,2.465,"nocturnal","scansorial","direct development","no free-living","no larva"
"103","Bolitoglossa_engelhardti",171,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","engelhardti","no",49,1.99,1.25781767194355,3.38,3.44,3.41,2.45,2.43,2.44,"nocturnal","scansorial","direct development","no free-living","no larva"
"104","Bolitoglossa_engelhardti",172,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","engelhardti","no",47,1.65,1.1816657504675,2.97,3.14,3.055,2.1,2.2,2.15,"nocturnal","scansorial","direct development","no free-living","no larva"
"105","Bolitoglossa_lignicolor",173,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","lignicolor","no",62,2.99,1.44064528692515,3.61,3.93,3.77,2.68,2.48,2.58,"nocturnal","scansorial","direct development","no free-living","no larva"
"106","Bolitoglossa_marmorea",174,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","marmorea","no",60,3.74,1.55223403138159,4.08,4.01,4.045,2.67,2.77,2.72,"nocturnal","scansorial","direct development","no free-living","no larva"
"107","Bolitoglossa_marmorea",175,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","marmorea","no",62,3.5,1.51829448593783,4.15,4.25,4.2,2.92,3.26,3.09,"nocturnal","scansorial","direct development","no free-living","no larva"
"108","Bolitoglossa_marmorea",176,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","marmorea","no",65,3.52,1.52118098430456,3.91,4.15,4.03,2.95,2.95,2.95,"nocturnal","scansorial","direct development","no free-living","no larva"
"109","Bolitoglossa_mexicana",177,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","mexicana","no",84,7.39,1.94781697406358,4.25,4.58,4.415,2.91,3.03,2.97,"nocturnal","scansorial","direct development","no free-living","no larva"
"110","Bolitoglossa_mexicana",178,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","mexicana","no",60,4.54,1.65584094561742,3.74,3.53,3.635,2.67,2.75,2.71,"nocturnal","scansorial","direct development","no free-living","no larva"
